DATE,PM2.5,PM10,CO2,HCHO
2021-06-02 00:01:43,0,0,885,0.115
2021-06-02 00:06:43,0,0,883,0.116
2021-06-02 00:11:43,0,0,887,0.114
2021-06-02 00:16:43,0,0,891,0.111
2021-06-02 00:21:43,0,0,886,0.114
2021-06-02 00:26:43,0,0,881,0.114
2021-06-02 00:31:43,0,0,890,0.111
2021-06-02 00:36:43,0,0,893,0.111
2021-06-02 00:41:43,0,0,886,0.113
2021-06-02 00:46:43,0,0,887,0.113
2021-06-02 00:51:43,0,0,890,0.110
2021-06-02 00:56:43,0,0,890,0.111
2021-06-02 01:01:43,0,0,886,0.111
2021-06-02 01:06:43,0,0,883,0.112
2021-06-02 01:11:43,0,0,890,0.109
2021-06-02 01:16:43,0,0,886,0.110
2021-06-02 01:21:44,0,0,886,0.111
2021-06-02 01:26:44,0,0,886,0.111
2021-06-02 01:31:44,0,0,891,0.107
2021-06-02 01:36:44,0,0,886,0.109
2021-06-02 01:41:44,0,0,883,0.110
2021-06-02 01:46:44,0,0,884,0.111
2021-06-02 01:51:44,0,0,892,0.106
2021-06-02 01:56:44,0,0,886,0.109
2021-06-02 02:01:44,0,0,886,0.109
2021-06-02 02:06:44,0,0,887,0.109
2021-06-02 02:11:44,0,0,889,0.107
2021-06-02 02:16:44,0,0,878,0.108
2021-06-02 02:21:44,0,0,871,0.108
2021-06-02 02:26:44,0,0,873,0.107
2021-06-02 02:31:44,0,0,875,0.107
2021-06-02 02:36:44,0,0,867,0.107
2021-06-02 02:41:44,0,0,864,0.107
2021-06-02 02:46:44,0,0,876,0.105
2021-06-02 02:51:44,0,0,875,0.106
2021-06-02 02:56:44,0,0,871,0.106
2021-06-02 03:01:44,0,0,864,0.107
2021-06-02 03:06:44,0,0,866,0.107
2021-06-02 03:11:44,0,0,877,0.104
2021-06-02 03:16:44,0,0,872,0.105
2021-06-02 03:21:44,0,0,864,0.105
2021-06-02 03:26:44,0,0,863,0.106
2021-06-02 03:31:44,0,0,864,0.107
2021-06-02 03:36:44,0,0,870,0.105
2021-06-02 03:41:44,0,0,869,0.105
2021-06-02 03:46:44,0,0,864,0.105
2021-06-02 03:51:44,0,0,869,0.105
2021-06-02 03:56:44,0,0,880,0.104
2021-06-02 04:01:44,0,0,874,0.104
